"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.DT.DOD.DSTC.IR.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SE.PRE.ENRR","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491237",1991,1009.5,19520000,71.2,67.468,289061,73.1289978027344,84.7200012207031,2.37100005149841,122.576625036615,1.36443400840349,9050404,123983018,27.312,72.688,9562950,24.0340673864157,836478966,314301034,10.7738245364014,20.9333631771725,14.4878781464611,9.29407591344456,41.487567680354,22.3813884033148,38.5011697342363,4.366e+09,650029991,28.5529515884119,21.4807300567627,69.242,2.14,383373318083.624,1150780000,333.142145400184,7.81295779019754,384152337595.819,24030227257.3288,93608374,396095011
"507082",1992,1316,27345000,71.407,67.511,288123,73.0230026245117,84.7200012207031,2.37400007247925,124.088088834447,1.2255362283362,9518933,131242713,28.2,71.8,9562950,21.3288613754466,836448460,328521540,11.2657590324214,23.8135669969746,15.658219676311,14.2161635832522,43.1152868319172,55.3864768837976,40.6055526268402,1.1156e+10,660785016,28.2064566558394,22.6873893737793,69.355,1.977,426915712711.146,1164970000,366.460692302073,12.8249454735615,427130409854.003,26517751745.191,92100020,401702616
"522927",1993,1547,31312500,71.626,67.592,287424,72.911003112793,84.7379989624023,2.68700003623962,125.522861023087,1.14961943083465,10010327,139053415,29.103,70.897,9562950,19.3074684032255,835478607,342961393,11.7997874308408,23.7980310133959,16.7022945503192,13.8675760159135,46.1766423579851,55.9307509391207,41.7072346183578,2.7515e+10,672602330,27.7129920864128,23.4931907653809,69.496,1.838,444731282436.762,1178440000,377.389839479958,12.5660279957052,443808937181.006,29960360002.6726,88812950,405173951
"538772",1994,1717.1999511719,37601000,71.858,67.724,287065,72.7740020751953,84.7300033569336,2.8970000743866,126.949644502437,1.13026063215591,10527819,147507400,30.024,69.976,9562950,19.4742827282163,833998460,357836540,12.3764950685288,24.8060934417499,18.5367485700923,13.0521587222366,46.162987257572,30.2571740982849,41.696726593019,3.3787e+10,683564095,27.2924230938805,23.6288604736328,69.67,1.731,564324670005.917,1191835000,473.492278718042,11.7815686941837,563288670005.917,33483951573.9951,87436560,393891055
"554617",1995,1501,47564500,72.103,67.916,288310,72.5960006713867,84.6660003662109,3.00399994850159,128.336621134526,1.08650915088974,11072063,156664016,30.961,69.039,9562940,19.596519610246,831819843,373035157,13.0027277971208,23.024681322758,17.9510180778458,10.9492273730679,46.7504903825002,27.8065601636697,39.5300829631116,35849200000,692423758,27.0321656011599,24.5862007141113,69.885,1.66,734547898220.508,1204855000,609.656679202484,9.7502790013573,722773475238.004,38228725816.1422,89308700,416113700
"570462",1996,1688.5999755859,51770100,72.358,68.173,290099,72.3830032348633,84.5370025634766,3.11800003051758,129.688982907321,1.04814151412165,11645251,166617245,31.916,68.084,9562930,19.325485548039,828956742,388593258,13.6846326639563,22.0851186134539,17.9232955521271,9.92837246319161,47.1042895264897,22.7399356755866,38.7591249298935,4.018e+10,705015307,26.3180617246871,25.9679508209229,70.14,1.622,863746717503.789,1217550000,709.413755085039,8.78218488287028,851309717503.789,41821102169.1395,92208280,451045054
"586307",1997,2083.6000976563,52277000,72.617,68.483,291506,72.129997253418,84.3560028076172,3.23300004005432,131.023100200996,1.02345002419879,12246411,177415721,32.883,67.117,9562930,17.8952767359584,825589438,404485562,14.4231628965713,23.2068927828976,19.493164459713,9.23076923076943,47.0990140435312,21.4847579403415,39.7422410855693,4.5439e+10,713316637,26.0024129933621,27.4684391021729,70.428,1.605,961603952951.82,1230075000,781.744164341053,8.1185481185483,950600282951.338,43899773343.3943,92141074,443493425
"602152",1998,2474.1999511719,53234000,72.878,68.831,292345,71.8339996337891,84.1110000610352,3.24300003051758,132.286384121395,0.959550406298151,12879499,189207420,33.867,66.133,9562930,17.1590347601611,821328874,420606126,15.2348891045022,22.0002015811103,18.3423215825108,7.83761391880653,45.7976028700262,11.344978204831,38.3470920759249,4.5644e+10,719268252,25.8392100330637,40.8107109069824,70.737,1.597,1029043097554.08,1241935000,828.580479295681,6.80780631931295,1012399391554.64,43812511407.9452,92118680,456246878
"617997",1999,3295.3999023438,55853100,73.141,69.207,293297,71.4980010986328,83.7890014648438,3.25200009346008,133.436760709953,0.865851392993279,13545316,202099429,34.865,65.135,9562930,16.0647884668303,815968942,436766058,16.1326560685221,19.2635053672261,18.1626961583414,7.66748617086679,45.3598886402964,9.40438583120514,36.5579149141456,4.1014e+10,725942229,25.4805158587505,44.9083213806152,71.063,1.595,1093997267271.06,1252735000,873.28706172579,6.73927002727268,1079526985271.13,45691827888.278,91616870,453040320
"633842",2000,3900.08,61891807,73.405,69.595,294109,71.1259994506836,83.3860015869141,3.26099991798401,134.492481002789,0.787956592953992,14246541,216252544,35.877,64.123,9562920,14.6762416552997,809645853,452999147,17.1269473209018,17.377179200642,20.8934448164694,8.49150849150845,45.5361354102345,7.61513976814842,35.7395469858613,42095300000,734773831,24.788720806345,44.8582191467285,71.397,1.596,1211346869605.24,1262645000,959.372483639691,7.64000165534245,1196681328408.87,49378031176.5033,85263850,405224140
"649687",2001,4232.312,72660653,73.674,69.981,295321,70.3270034790039,82.7509994506836,3.80200004577637,135.473046225577,0.726380637838525,14829537,226290339,37.093,62.907,9562914.375,13.9834613523738,800082679,471767321,17.7922191296143,19.0197000211743,20.3121457448267,8.33991054985508,44.7934341334633,25.5843062911482,37.2692998222516,4.7053e+10,738870161,24.214505249819,44.702449798584,71.732,1.597,1339395718865.3,1271850000,1053.10824300452,7.55580167175513,1320222692110.76,53232439955.5067,82595450,396483872
"665532",2002,5013.505,83671798,73.951,70.351,297273,69.4520034790039,82.0149993896484,4.24300003051758,136.383780699482,0.669999567758626,15357256,234270258,38.425,61.575,9562913.125,13.3014877128561,788406300,491993700,18.2966462043112,20.3971551607445,22.64474567395,9.13064594463357,44.4505789634328,22.0595538580947,38.8832254802573,53073618897.4036,745105713,23.2795876069689,40.0532989501953,72.061,1.6,1470550015081.55,1280400000,1148.5082904417,8.40191506145128,1455604866961.46,61489076940.9119,81469343,396676773
"681377",2003,5650.63,86040642,74.237,70.697,299347,68.5400009155273,81.245002746582,4.58199977874756,137.235922173683,0.622860936133583,15903755,242580168,39.776,60.224,9562912.5,12.3489989653686,775926016,512473984,18.8280167649798,22.6573596694804,26.9807565341729,10.0356030262571,45.6228144470836,21.1660558750489,42.4134996451629,57900937467.3864,752357588,22.150753825892,39.1993598937988,72.381,1.604,1660287965662.68,1288400000,1288.64325183381,9.35236426173512,1650069477164.43,76073101429.4636,76947970,374819700
"728912",2006,7692.205,158013351,75.17,71.551,301024,66.2020034790039,79.5120010375977,4.43100023269653,139.645345113,0.558374367373002,17662731,269647598,43.868,56.132,9562911.25,10.6257605277639,735901746,575118254,20.5677715061555,23.7854758874612,36.0350255522637,12.7194790206907,47.5573848602314,16.0422010957745,48.2605005642875,124082035618.506,768086594,19.7208099777018,42.5563697814941,73.271,1.615,2752131773355.16,1311020000,2099.22943460447,12.0918362716471,2746989420528.26,130412710892.713,84899810,451107752
"744757",2007,11189.538,183613132,75.508,71.788,301075,65.6289978027344,79.1839981079102,4.34700012207031,140.376590666872,0.522271866392275,18291272,279417210,45.199,54.801,9562910.625,10.2461639965301,722214159,595670841,21.2019417475728,24.8222562669127,35.4348016404715,14.2313880356882,46.8841577490362,13.172701446011,50.2752199341302,156249335203.202,771363489,19.3017915100667,44.7893218994141,73.553,1.617,3550342425238.25,1317885000,2693.96982683485,13.6363448575163,3558383174498.85,141490162120.855,85776290,456321100
"760602",2008,11386.055,191001220,75.855,72.017,300966,65.1190032958984,78.927001953125,4.58699989318848,141.097707849945,0.51238693163744,18943092,289614409,46.539,53.461,9562910.625,10.169036531863,708173810,616481190,21.8633839754502,23.5369154829347,32.6027153223964,9.65428937259911,46.971162550596,9.5210801707938,51.7875878735266,171534650311.569,773615098,19.0546648730447,47.0922698974609,73.835,1.62,4594306848763.08,1324655000,3468.30446324747,9.09387210240236,4622871904097.17,167544719341.788,86249030,478546900
"776447",2009,11976.438,229062099,76.208,72.244,300985,64.5869979858398,78.6419982910156,4.71999979019165,141.801240358753,0.497381400884935,19616251,300215888,47.88,52.12,9562911.25,9.63618203609171,693852712,637407288,22.5512588074456,24.9185994284203,24.7498590447203,9.39981317141519,45.9571493786399,9.80509160734283,50.3730517825282,131057052869.5,774937161,18.8620381428067,50.1515808105469,74.119,1.623,5101702432883.45,1331260000,3832.23595156727,8.85702981880397,5093171238691.92,173995306997.891,88400730,481563308
"792292",2010,17193.8774,266293020,76.566,72.476,300984,63.9809989929199,78.2750015258789,4.52600002288818,142.487739610674,0.482959688678361,20314309,311285309,49.226,50.774,9562911.25,9.32516385425288,679206337,658498663,23.2701013302634,24.0836782505116,27.1853298044799,10.6361404632298,46.497822353867,17.5831740002485,51.3267086711715,243703434558.178,775351078,18.6599572797731,53.6667785644531,74.409,1.627,6087164527421.24,1337705000,4550.45359583857,10.1031007233129,6061091827540.88,210528033359.992,89836790,496343192
"808137",2011,16764.869,292160158,76.926,72.72,301016,63.7190017700195,78.0619964599609,4.5479998588562,143.172108531324,0.47915045424996,20947904,320885462,50.511,49.489,9562911.25,9.17766152491637,665196496,678933504,23.8730972450581,20.1084822177667,26.5681882846826,9.55091409001017,46.5292878102686,23.7000997642003,49.2333293211053,280072219149.935,777894941,18.5098462780582,59.9223289489746,74.708,1.632,7551500425597.77,1344130000,5618.13249134962,9.02725594457161,7481123578116.54,245526186316.737,91006830,519373896
"823982",2012,15568.753,318475924,77.284,72.976,301037,63.4580001831055,77.8239974975586,4.57000017166138,143.871389770868,0.487231117971201,21555451,329831324,51.765,48.235,9562911.25,9.11370641316053,651507733,699187267,24.419378468122,20.3006043065636,25.4925200220519,7.85962749328517,45.4229826581009,23.3831724394243,48.665357543471,241213868161.42,780282595,18.3696637160689,68.350700378418,75.013,1.639,8532230724141.76,1350695000,6316.91886335683,7.33538000995739,8512412274448.3,265554544992.161,92588200,539346800
"839827",2013,16053.7331,352795296,77.635,73.242,301045,63.181999206543,77.5319976806641,4.59000015258789,144.583452998035,0.49370963351136,22178874,339050281,53.013,46.987,9562911.25,8.94289898597417,637792141,719587859,24.9782876571041,20.0517749731142,24.5992556627233,7.76861528412817,44.1767043890751,27.7558965140696,47.3783913985045,290928431467.003,782215189,18.2400894189889,72.7794570922852,75.321,1.647,9570405758739.79,1357380000,7050.64591988963,7.23786251543082,9492578843732.85,284688666545.153,93768680,552691792
"855672",2014,17822.581,390878784,77.972,73.517,301052,62.8650016784668,77.2210006713867,4.60900020599365,145.317352120725,0.506311591779847,22821226,348525737,54.259,45.741,9562911.25,8.64348810551755,624030741,740239259,25.546683354468,20.844337556893,23.510061073383,7.42452365619906,43.0855653470499,31.7805024432322,47.6158261448919,268097181064.335,783684170,18.1343618544823,76.0712738037109,75.629,1.656,10475682846632.2,1364270000,7678.599431661,6.88199544111612,10488983299150.3,299764860524.272,94607680,557417300
"871517",2015,19805.63,436183969,78.288,73.793,301044,62.5040016174316,76.8990020751953,4.62900018692017,146.057642237226,0.508136747291937,23482181,358247976,55.5,44.5,9562911.25,8.38700911159946,610192900,761027100,26.1262216128703,20.0354265384159,21.3540804423373,7.04185620085329,40.8413371576327,24.1463407176744,45.5169550652291,242489331627.399,784597090,18.0538360554933,78.6560516357422,75.928,1.665,11061552790044.2,1371220000,8066.94242356745,6.49931678296562,11019762344440,307604688577.464,105397273,621439200
"887362",2016,21304.5851,487960477,78.574,74.061,317254,62.0839996337891,76.5270004272461,4.53499984741211,146.850677605209,0.541478512050099,24163230,368117713,56.736,43.264,9562910,8.05728762152913,596465626,782199374,26.7010269354774,19.296815952719,19.5843789905641,6.84872842271704,39.5806188974177,25.8710280064028,44.4763515440097,174749584584.051,784950069,17.9946160874834,82.3611831665039,76.21,1.675,11233277146512.2,1378665000,8147.9381477822,6.27172909140224,11188325682895.6,312342392992.21,103036180,616250500
"903207",2017,23323.6147,551234509,78.828,74.315,321714,61.5979995727539,76.1220016479492,4.44099998474121,147.674050750889,0.559121331017265,24862075,378089414,57.96,42.04,9562910,7.46356016609379,582840458,803554542,27.2714063452335,18.966147001656,19.6922781375567,6.94620009249279,39.8517059179778,31.8521168076517,44.9573910061158,166083755721.649,784839482,17.9373611027194,84.7978210449219,76.47,1.683,12310408652423.5,1386395000,8879.43814888506,6.34990962208937,12300722021660.7,338413144561.92,102493146,617930299
