"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.DT.DOD.DSTC.IR.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491285",1991,493.1000061035,10717400,58.774,57.967,210569,30.2959995269775,84.5989990234375,5.44999980926514,299.770014361679,2.03972963544003,12708725,99549265,25.778,74.222,3287260,27.3332181443779,661520801,229752408,11.1693321413412,11.4521458866139,8.49424077053547,1.05683143294308,26.4417201769254,92.8310350181283,21.7599660966497,73537638.3885329,323815936,37.7655720604074,58.353,3.959,270105341879.226,891273209,303.055605342701,-0.98357458131818,265995400854.861,6166979540.20296,100243408,193101196
"507130",1992,429.3999938965,11127100,59.337,58.405,258372,30.3560009002686,84.5029983520508,5.50400018692017,305.835488482068,2.00317761842978,13051762,102588229,25.984,74.016,3287260,26.669771971317,673032681,236274335,11.2820232545088,12.9229638612045,8.84292692502088,5.48239602167047,26.7927432696344,66.4654808617525,23.2467998265247,276512438.973893,331386003,37.5427627845335,58.851,3.877,288208430383.964,909307016,316.953927895311,3.39041923244446,283799332762.87,6900434255.44134,99499504,201468404
"522975",1993,372.3999938965,9441600,59.9,58.843,262802,30.4659996032715,84.4199981689453,5.61199998855591,311.922164409271,1.97063455950575,13403076,105727302,26.191,73.809,3287260,26.881800844094,684507515,242896345,11.4003517302591,13.1899261430718,9.83421745486326,4.75077621965237,26.7815542820739,24.7093161398657,24.0830767113128,550370024.929383,339356492,37.2896901679922,59.349,3.799,279296022987.919,927403860,301.159004220577,2.70672773345568,275444510280.797,7531966273.73,100066500,208626900
"538820",1994,563.5999755859,11518400,60.454,59.277,258342,30.636999130249,84.3399963378906,5.63100004196167,318.042853298982,1.94324488641587,13764351,108983715,26.399,73.601,3287260,26.3886188842791,695972404,249629427,11.5253282541497,15.4463403438387,9.88808491615672,6.65892406734024,27.628201246504,17.6046100193443,25.951000892873,973271468.722874,347849532,36.9929303785369,59.84,3.723,327275583539.559,945601831,346.102950322606,4.60628844055002,323108717813.725,8372854826.85311,100184200,211941400
"554665",1995,653.9000244141,14260600,60.991,59.703,227481,30.6049995422363,84.1380004882813,5.63600015640259,324.204839919413,1.9189405494854,14135363,112357895,26.607,73.393,3287260,24.4568552670561,707451705,256470883,11.6563193350543,15.9748503899717,10.8439680348823,7.57449184032379,28.599809423728,22.0821350390418,26.9673908161413,2143628110.28392,355750638,36.6498039778273,60.32,3.651,360281952716.797,963922588,373.766480007829,5.52988146502977,356252331233.451,9344072509.80122,99450800,210012500
"570510",1996,565,13394600,61.503,60.121,233371,30.5629997253418,83.8960037231445,5.65199995040894,330.407825601458,1.89521886030615,14516908,115859638,26.817,73.183,3287260,25.4170307460273,718924356,263440887,11.7939471928161,15.6946779911587,10.3851692716063,7.5495222488198,27.9122703698412,27.0235905680178,27.0479336644212,2426057021.91092,363469074,36.326527383054,60.783,3.582,392897054348.071,982365243,399.950076763934,5.53041708566022,389212066967.505,10655160547.6968,100300000,218750900
"586355",1997,528,16039800,61.992,60.531,223072,30.5219993591309,83.6490020751953,5.63700008392334,336.641798875955,1.8691727113405,14907660,119479361,27.028,72.972,3287260,24.3453570949732,730376770,270523260,11.9371922688423,16.1926249308775,10.6907173181022,4.0498208490926,27.83703076259,17.7767613257158,27.5504324876357,3577330042.34586,371459178,35.9654314327476,61.233,3.514,415867753863.874,1000900030,415.493796981777,2.1230137664451,412314039081.443,11611485966.2495,100167200,223232400
"602200",1998,531.299987793,16521000,62.46,60.936,185516,30.4820003509521,83.4029998779297,5.63100004196167,342.892173389524,1.83965807334182,15309490,123237142,27.24,72.76,3287260,24.3788210472195,741776254,277707327,12.0881929142123,15.8002174688835,11.018469179248,6.18441582090618,27.3030378516024,14.1255641171885,25.8895037153077,2634651657.77141,379708697,35.5719678824332,61.669,3.446,421351477504.743,1019483581,413.298934242221,4.24884418092208,417792938008.473,12338741289.9161,100904200,226877000
"618045",1999,531.200012207,16005400,62.906,61.335,180031,30.4459991455078,83.1699981689453,5.68499994277954,349.139528923479,1.80556041999182,15722151,127133686,27.453,72.547,3287260,22.9889609802859,753080050,284978106,12.2472604511765,16.0349556439004,11.4520646128009,8.84575556105509,26.5192933488596,10.9233930698278,25.6375365050134,2168591054.37924,388180658,35.1560002578507,62.093,3.379,458820417337.807,1038058156,441.998759593395,6.89811550022166,455259488556.383,13712365782.5412,102091700,236205608
"633890",2000,547.652,17299483,63.334,61.729,170940,30.4130001068115,82.9560012817383,5.66300010681152,355.367651915956,1.76812541234731,16146527,131180551,27.667,72.333,3287260,21.6089574707079,764252792,292322757,12.4156338014973,15.552468650944,12.9972363111656,3.84099115681285,27.3258283772087,8.43175627310569,26.1190273150086,3584217307.18756,396836575,34.7258428748667,62.505,3.311,468394937262.37,1056575549,443.31419339174,2.02108869495849,463418960201.815,14962760986.3925,102402400,234931192
"649735",2001,515.37,16862737,63.745,62.121,169548,30.673999786377,82.9069976806641,5.65899991989136,361.564543470145,1.7287676376721,16496409,135034843,27.918,72.082,3287260,21.6205046124833,774881561,300118524,12.5613797509607,15.2046940862173,12.5583796339108,4.82396626390644,26.4877773440307,5.59011820458963,26.2598790270655,5128093561.62688,406743498,34.3604593296381,62.907,3.244,485441014538.638,1075000085,451.573001074356,3.02737762448122,481233322101.917,15891629740.8463,100271100,242963796
"665580",2002,546.34,17633019,64.145,62.511,168853,30.9419994354248,82.8789978027344,5.7189998626709,367.725301443904,1.68956268109949,16955638,138352599,28.244,71.756,3287260,19.5366997010537,784520682,308796507,12.6543879847479,16.5362542798048,14.2643839244292,3.80397532137577,27.6606541610101,5.71585257379818,28.1114855753156,5208967106.27894,416975693,33.9683088070428,63.304,3.176,514937948870.08,1093317189,470.98678594916,2.06487505778787,511490036313.605,16836589082.281,94470900,206636708
"681425",2003,579.85,19455085,64.543,62.902,164754,31.2180004119873,82.8690032958984,5.72499990463257,373.848675664858,1.65149090571384,17515512,141774879,28.572,71.428,3287260,19.5806067890042,793938751,317584393,12.7550091750496,18.9734770581769,14.9479138582269,7.86038147553259,27.4741071212972,6.09906620639582,30.4709665405209,3681984671.43429,427476859,33.5602370507186,63.699,3.109,607699285433.872,1111523144,546.726614478728,6.09370548499972,603192892963.386,18423373939.0245,98603100,236592700
"697270",2004,708.475,23934074,64.943,63.293,162683,31.5009994506836,82.8730010986328,5.66900014877319,379.936518016003,1.61530758962511,18094682,145310545,28.903,71.097,3287260,17.8146906484855,803128389,326495067,12.8636267446628,21.8151651616685,17.8591249630479,7.92293661286503,29.219106305293,5.21457144335343,33.3325712414352,5429250989.85717,438179539,33.1485639759945,64.095,3.041,709148514804.66,1129623456,627.774247283919,6.19365344839693,704168745465.35,20456740140.3516,97805700,229845504
"713115",2005,774.04,27879461,65.357,63.689,139284,31.7919998168945,82.8889999389648,5.59800004959106,385.98607118953,1.57971029004446,18691330,148948853,29.235,70.765,3287260,17.6202069547056,812106165,335503762,12.9790488471437,22.5393124560046,19.6052466949414,7.92343062149763,29.5337641916264,6.39652529340118,34.4180229036305,7269407225.61438,449054910,32.7393119526405,64.5,2.972,820381595512.902,1147609927,714.861013495661,6.23194851645125,814482820622.222,23011251144.7424,99519200,239997492
"728960",2006,842.55,40288794,65.793,64.091,158358,30.4820003509521,82.3949966430664,5.44999980926514,391.998591075579,1.54569617765161,19308516,152708895,29.569,70.431,3287260,16.8094420943591,820863650,344622641,13.1025904104779,24.308989097971,21.2679414220966,8.06073257303272,30.927239943678,14.095495417715,36.3605321108703,20029119267.1396,451550700,32.3752974113704,64.918,2.899,940259888792.141,1165486291,806.753280628799,6.4032845150854,932915277249.472,26039783048.1712,99236800,242785588
"744805",2007,967.684,51897450,66.253,64.499,161534,29.2189998626709,81.9150009155273,5.32299995422363,397.959589531782,1.50922207007344,19946082,156590178,29.906,70.094,3287260,16.750119759587,829358847,353850625,13.2343580494934,24.8591904373591,20.7996997489457,7.66081506504928,30.90323825115,13.0498401661876,37.0113915056158,25227740886.6819,454037720,32.0102723112751,65.35,2.823,1216735441524.86,1183209472,1028.33477107667,6.04817406008833,1211640646849.16,29736168598.3855,100833500,260485904
"760650",2008,1233.937,49877935,66.735,64.91,184539,27.9990005493164,81.4440002441406,5.2810001373291,403.832168478974,1.46489008016823,20605621,160602956,30.246,69.754,3287260,16.7909423598037,837515188,363154577,13.3761139558636,22.4839242170098,24.0973572601391,3.08669805953289,31.1367192407735,17.0231229178886,36.2540811295104,43406277075.8109,456498871,31.6377458709473,65.794,2.743,1198895582137.51,1200669765,998.522339019268,1.58759813631464,1191737412305.19,34790317815.2991,101155500,266835300
"776495",2009,1235.158,54446373,67.231,65.32,185318,26.8209991455078,80.9789962768555,5.56599998474121,409.568919241623,1.41058229969824,21285065,164735263,30.587,69.413,3287260,16.744270156395,845260298,372465917,13.5281035236644,23.3601024229626,20.4005193744525,7.86188883303498,31.1213721113498,16.3701444593907,35.6174386433649,35581372929.6642,458945435,31.2412728176341,66.244,2.661,1341886602798.69,1217726215,1101.96084002239,6.35108871136214,1333877109441.3,40027072360.41,97171600,250783392
"792340",2010,1630.96414222155,64374253.8038964,67.73,65.723,184814,25.6800003051758,80.5139999389648,5.63600015640259,415.136997635536,1.35033904507757,21987895,169008985,30.93,69.07,3287260,17.0265090139755,852518004,381763166,13.6929079943754,24.5565257826914,22.4009332488238,8.49758470158106,30.725078228098,18.7859319395341,36.3058753820012,27396885033.7839,461396923,30.8102597886995,66.693,2.581,1675615335600.56,1234281170,1357.56371913262,7.04234688705345,1657660320258.9,41253588694.7927,100075800,267838308
"808185",2011,1702.702702,73996912,68.218,66.115,185118,24.2530002593994,80.0289993286133,5.63800001144409,420.520965360438,1.28857558007871,22713934,173423824,31.276,68.724,3287260,17.1919704272881,859248426,391040303,13.870702020861,22.8967816854173,24.5404048907945,5.2413447428854,30.1616777111582,26.1271139716341,35.131819295488,36498654597.8589,462065519,30.3964428456462,67.13,2.506,1823050405350.42,1250288729,1458.10352686177,3.89393034480594,1807019187629.77,46326838681.9961,100625700,287860000
"824030",2012,1579.229879,72151828.8895485,68.68,66.488,185644,22.8929996490479,79.5439987182617,5.65199995040894,425.732223638583,1.23162292802113,23463947,177985310,31.634,68.366,3287260,16.8453770659344,865365062,400417728,14.0612837689158,23.1616683425894,24.534430661418,5.45635895072287,29.3985276966295,31.0722607032238,35.2612917940085,23995685014.2142,462943180,29.9287920551663,67.545,2.439,1827637859135.7,1265782790,1443.87952939042,4.16549983071508,1806177662220.11,53324687429.0383,98969000,293290000
"839875",2013,1733.76172,75589071,69.106,66.84,188391,22.4780006408691,79.0199966430664,5.6710000038147,430.798613273958,1.18301607012995,24238725,182699244,32.003,67.997,3287260,17.1484235434587,870936942,409909187,14.263949420891,22.1676008818093,25.430861300519,6.38610640094825,28.4048995601136,31.0997655464762,34.3046563330021,28153031270.3203,467582214,29.4275280023289,67.931,2.381,1856722121394.53,1280846129,1449.6059123387,5.13495690740315,1833601556952.76,56365197861.5376,99299950,294909510
"855720",2014,1851.32674,82718882.88,69.491,67.167,199931,22.0869998931885,78.4830017089844,5.60799980163574,435.762323968532,1.14562398784018,25039086,187571674,32.384,67.616,3287259.0625,16.7919345145841,876035725,419568459,14.4775446325666,21.5107475019448,22.9679630081172,7.41022760508852,27.6564012029796,26.3240028648038,33.4660242231467,34576643694.1383,472080476,28.9254244902534,68.286,2.333,2039127446298.55,1295604184,1573.88149211052,6.18673198340534,2015015376660.84,65030969621.3592,99988240,296010000
"871565",2015,1833.847614,98927860,69.835,67.468,201379,21.7169990539551,77.9329986572266,5.56500005722046,440.655458615157,1.11663309126289,25865875,192608941,32.777,67.223,3287259.0625,16.1745083942426,880723750,429428653,14.7012622775001,21.0042504910231,19.8131891259911,7.99625344413879,27.3473914359636,23.0847505838207,32.4539248532741,44009492129.5319,476339891,28.4412002868341,68.607,2.295,2103587817041.78,1310152403,1605.60543355488,6.79703941171998,2079182325742.91,70882430872.8427,99533000,284333000
"887410",2016,1893.8815,119577835,70.142,67.745,197848,21.3640003204346,77.3519973754883,5.51100015640259,445.484341397623,1.08988008026408,26719965,197817657,33.182,66.818,3287259.0625,16.3638004429539,885010817,439498772,14.9351623153858,19.781777215793,19.1582349291,8.25630584417523,26.6189999657326,23.2054745958907,30.8305755373936,44458571545.798,480525905,27.9324323846537,68.897,2.266,2294797978291.98,1324509589,1732.56426178428,7.08284818740495,2247940124045.8,76014859097.7574,98590000,297850000
"903255",2017,2407.098107,139752424,70.425,68,197142,21.0289993286133,76.7600021362305,5.41900014877319,450.243285831043,1.06259739387194,27602257,203204785,33.6,66.4,3287259.0625,16.3578102992883,888869466,449789369,15.1797291204521,19.9171625104691,18.7826851657717,7.04382085538124,26.4788096567048,23.6561634360702,31.4320997404957,39966091358.7384,484231730,27.4786995727277,69.165,2.243,2652754685834.59,1338658835,1981.6510498992,5.91239788601601,2624081509582.67,84776042251.5331,99220000,313610000
