"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491402",1991,14486.2001953125,452015904,78.9,72,513885,56.0429992675781,74.6729965209961,6.80000019073486,100,27.6211491261017,1.33626074073779,16253492,106882401,75.701,24.299,9629090,61471853,191509147,42.2491811638028,6.87168039492493,9.66090512231881,-0.108259105278663,18.8100151848069,3.455e+10,128716397,21.8002814260128,75.3658536585366,2.0625,6.158129e+12,252981000,24342.2589048189,-1.43419451514927,6.09675e+12,45169440199.3682,62131075,280063391
"507247",1992,15617.599609375,466964992,79.1,72.3,579938,56.4749984741211,74.7590026855469,7.5,100,28.0068916121481,1.38688569247935,16423372,108589444,76.097,23.903,9629090,61314541,195199459,42.3327553271946,7.0467094769462,9.70891490564814,3.52244249386644,17.6815219543437,3.031e+10,130869552,21.910086653632,75.6170731707317,2.046,6.520327e+12,256514000,25418.9907763319,2.09661470539942,6.435469e+12,48460164807.6436,65890404,353025147
"523092",1993,16343,469926112,78.8,72.2,623056,56.5800018310547,74.4240036010742,6.90000009536743,100,28.3786587123429,1.31867999977741,16594553,110331233,76.488,23.512,9629090,61112155,198806845,42.4483138977912,6.19015674437024,9.54718039168286,2.75284432688012,17.0434226781457,5.023e+10,132265527,21.9892262356465,75.419512195122,2.0195,6.858559e+12,259919000,26387.2937338171,1.40675791175455,6.733768e+12,52336544352.2133,60273827,259105342
"538937",1994,19083.80078125,514924000,79,72.4,631046,57.6189994812012,74.2350006103516,6.11899995803833,100,28.7288076375484,1.2262960888682,16767758,112116197,76.875,23.125,9629090,60847887,202278113,42.6093191094761,7.52532691735348,9.89314741556332,4.0288390635428,17.8520305915713,5.594e+10,134761841,22.0247443502355,75.619512195122,2.0015,7.287236e+12,263126000,27694.853416234,2.7609275425347,7.170251e+12,55776862236.3717,64017419,355934924
"554782",1995,19622.900390625,533512096,78.9,72.5,623279,57.8580017089844,74.2679977416992,5.65000009536743,100,29.0729515141457,1.19078709090209,16942770,113943290,77.257,22.743,9629090,60559606,205718394,42.7911017808456,7.68284061209656,10.639223880261,2.68428713241977,18.7477978661341,6.908e+10,136693852,22.0152634365607,75.6219512195122,1.978,7.639749e+12,266278000,28690.8757013347,1.46878726746138,7.574691e+12,59098836212.2737,59766550,277601210
"570627",1996,21676.400390625,571072000,79.1,73.1,607005,58.1619987487793,74.2939987182617,5.45100021362305,100,29.4131648134723,1.16341161998189,17119854,115816534,77.636,22.364,9629090,60247274,209146726,42.9915046363319,8.53273793255322,10.7466355642836,3.77250131926519,19.6380792957173,9.766e+10,138602157,22.0472291496015,76.0268292682927,1.976,8.073122e+12,269394000,29967.7127181749,2.57219576639159,8.045907e+12,63425776215.1779,64881026,335780123
"586472",1997,25478.80078125,590571392,79.4,73.6,563813,58.7109985351563,74.3720016479492,5,100,29.7694279699879,1.20396029701272,17298295,117729566,78.008,21.992,9629090,59962727,212694273,43.1786332278284,9.96318227792038,11.119754518777,4.44721634273408,20.8321463618552,1.2215e+11,141048402,22.0060093782191,76.4292682926829,1.971,8577554463000,272657000,31459.139002483,3.19725295677171,8.589268e+12,67930452405.423,63803406,336582161
"602317",1998,25757.900390625,588170880,79.5,73.8,533951,58.7449989318848,74.2649993896484,4.51000022888184,100,30.1184850681737,1.16571452642589,17478845,119691727,78.377,21.623,9629090,59647910,216206090,43.3895201809653,10.1395824664747,10.5152611231164,4.48140755451207,21.3776868838487,2.1115e+11,142801308,21.9165411215449,76.5804878048781,1.999,9062818211000,275854000,32853.6769849268,3.2705240438442,9.135464e+12,71181503054.8646,61556513,349425744
"618162",1999,27292.19921875,634364608,79.4,73.9,521134,58.9140014648438,74.2030029296875,4.2189998626709,100,30.4663411566379,1.14834004729055,17661279,121701995,78.742,21.258,9629090,59318323,219721677,43.6145337586009,9.55352041738584,10.3085101834807,4.75323598879717,20.9488562541826,3.12449e+11,144779757,21.8117417042619,76.5829268292683,2.0075,9630664202000,279040000,34513.5615037271,3.55719309222211,9.689354e+12,75802950615.3848,58461970,335364364
"634007",2000,30171.975,665327414,79.3,74.1,508209,59.0209999084473,74.1969985961914,3.99200010299683,100,30.7973013298523,1.11276899679534,17813371,123562801,79.057,20.943,9632030,59093274,223069137,43.7913755280465,9.09867589340986,10.6927239610622,4.12748401355853,20.8217525199071,3.49125e+11,146729576,21.702880167839,76.6365853658537,2.056,10252345464000,282162411,36334.9087770589,2.97520862601139,1.0383859e+13,82563318586.9879,58526104,342631506
"649852",2001,27924.568,622187846,79.5,74.3,515851,58.8040008544922,73.6640014648438,4.73099994659424,100,31.1036283879362,0.989741382223669,17867738,124843418,79.234,20.766,9632030,59176653,225792302,43.8094802291709,7.96195370921563,9.68298331038577,0.9983407946565,19.7033471023905,1.72496e+11,147698388,21.5285035933618,76.8365853658537,2.0305,10581821399000,284968955,37133.2428088526,0.00364897860518454,1.0743709e+13,85411360018.8249,55166824,324994634
"665697",2002,29554.684,598410415,79.6,74.4,485173,58.5859985351563,73.1579971313477,5.78299999237061,100,31.3935499327652,0.927797485710314,17922346,126152120,79.409,20.591,9632030,59224903,228400290,43.8598992960954,6.8258521781891,9.13224881991615,1.7416952497298,18.3980879853363,1.11055e+11,148526037,21.3962336126125,76.9365853658537,2.0205,10936419054000,287625193,38023.1611144021,0.802103852022327,1.1054325e+13,90092110955.4885,53570702,297143452
"681542",2003,34205.554,588997110,79.7,74.5,452536,58.4519996643066,72.4739990234375,5.98899984359741,100,31.6645346171981,0.859481712840946,17977121,127487866,79.583,20.417,9632030,59231337,230876596,43.9449775404797,6.06343493214312,9.04306987207242,2.86121076741024,17.4599181279531,1.17106e+11,149140813,21.2681712378164,77.0365853658537,2.0475,11458243878000,290107933,39496.4858751381,1.98092583421372,1.1530268e+13,95094402672.5389,57813092,348247631
"697387",2004,37450.121,678110608,80.1,75,420788,58.1479988098145,72.2190017700195,5.52899980545044,100,31.9589450682826,0.925483968943482,18032139,128853293,79.757,20.243,9632030,59272576,233532722,44.0064759347353,6.03987026849863,9.64186274172664,3.79889112662393,17.7916668516736,2.13641e+11,150211571,21.0999066756788,77.4878048780488,2.0515,12213729147000,292805298,41712.8010675545,2.84268064178576,1.2313988e+13,102008549209.143,56782664,389023763
"713232",2005,37357.644,720547738,80.1,75,379330,58.2379989624023,72.1600036621094,5.08300018310547,100,32.2548765979183,0.921713167161207,18087174,130243458,79.928,20.072,9632030,59316092,236200507,44.0731446019382,5.95868572650282,10.0119737683374,3.51321379665302,18.2178073359487,1.42344e+11,152071960,20.8811342294238,77.4878048780488,2.057,13036640229000,295516599,44114.7477776705,2.56350240639679,1.3169702e+13,108975042078.048,56805877,366436346
"729077",2006,39881.895,725530965,80.3,75.2,843449,58.3330001831055,72.2839965820313,4.6230001449585,100,32.5673998463204,0.964253917136075,18142453,131664843,80.099,19.901,9632030,59380586,238999326,44.1265774620913,7.1369601501722,10.6598220961005,2.85497229170015,19.3138331585358,2.98463e+11,153931108,20.8175274142624,77.6878048780488,2.108,13814611414000,298379912,46298.7314440927,1.867955513984,1.4072966e+13,113794658323.43,52861862,338336800
"744922",2007,40617.739,744302310,80.6,75.5,281169,58.2560005187988,71.9940032958984,4.62200021743774,100,32.8786113609374,0.951055242772428,18197900,133116365,80.269,19.731,9632030,59435929,241795278,44.1907617493296,5.21856262972159,11.4923141737205,1.87617145846693,17.6261065215996,3.46613e+11,155224880,20.6899078668217,77.9878048780488,2.12,14451858650000,301231207,47975.9676758856,0.911865597890312,1.4543216e+13,122295181685.428,61919594,415130860
"760767",2008,39313.596,701779551,80.6,75.6,279488,58.4560012817383,71.765998840332,5.78399991989136,100,33.2436868537795,0.945865287282592,18253594,134600924,80.438,19.562,9831510,59486862,244607104,44.2629381209096,2.18723431677279,12.4860631262841,-0.136579805460741,15.3169909715194,3.41092e+11,157006864,20.5248388845019,78.0390243902439,2.072,14712844084000,304093966,48382.5584490552,-1.07670008700785,1.4684602e+13,124534079531.033,60985598,402399936
"776612",2009,35097.670654396,679423408,80.9,76,275398,58.140998840332,70.7429962158203,9.25399971008301,100,33.5363992251367,0.876651298802912,18309304,136113194,80.606,19.394,9831510,59495270,247276259,44.36956533864,1.09995254345125,10.9488776594284,-2.53675706585665,13.994043688219,1.61083e+11,157109264,20.3592671936831,78.390243902439,2.002,14448933025000,306771529,47099.9804711343,-3.38743566041579,1.4398708e+13,121176334237.512,57937341,418666166
"792457",2010,39353.2561,720497000,81,76.2,264510,57.4990005493164,69.9010009765625,9.63300037384033,100,33.8151813298176,0.827846041704304,18365262,137660260,80.772,19.228,9831510,59476370,249845296,44.503917808331,3.2111880438352,12.3150580752357,2.56376655876581,15.5181951555579,2.64039e+11,156903447,20.2048008087726,78.5414634146342,1.931,14992052727000,309321666,48467.5157769259,1.71820129544903,1.5126736e+13,129433174115.285,57483702,401126330
"808302",2011,39621.9135350454,730796000,81.1,76.3,264752,56.9249992370605,69.3300018310547,8.94900035858154,100,34.0595352569358,0.720017688665691,18421391,139240988,80.944,19.056,9831510,59370278,252186596,44.6919967492035,4.35944527075762,13.5305390136184,1.55083550568156,16.5499988887817,2.63497e+11,156975333,20.0251330582403,78.6414634146341,1.8945,15542581104000,311556874,49886.8181094923,0.822277547660107,1.5832207e+13,132935693084.597,56668632,385545256
"824147",2012,39111.3403776909,736699000,81.2,76.4,262006,56.7849998474121,69.5640029907227,8.06900024414063,100,34.3081426238218,0.727268997193117,18477769,140858582,81.119,18.881,9831510,59254429,254576561,44.883579534322,6.21392065427123,13.5289189711659,2.24954585236993,18.8365599537026,2.50345e+11,158636184,19.8231699369023,78.7414634146342,1.8805,16197007349000,313830990,51610.6052783379,1.50861415465708,1.6670651e+13,134570298300.203,60253274,356210124
"839992",2013,37113.5589216014,743171000,81.2,76.4,263653,56.2879981994629,68.9619979858398,7.375,100,34.5445726773232,0.686773155567634,18534163,142507280,81.299,18.701,9831510,59093985,256899730,45.0981374740317,6.42359972609338,13.5445244354918,1.84208107101101,19.2616446141569,2.88131e+11,158755710,19.6170488180396,78.7414634146342,1.8575,16784849190000,315993715,53117.6678308301,1.14505323682037,1.7175898e+13,143492090885.152,59486800,434308450
"855837",2014,38225.1960889445,762710000,81.3,76.5,267214,56.1080017089844,68.5189971923828,6.16800022125244,100,34.7968069685223,0.727517695817155,18590808,144194855,81.483,18.517,9831510,58939798,259361210,45.3014132459172,7.45931342360374,13.535773933254,2.45197303536034,20.4049864153799,2.51856e+11,159532062,19.4162424175389,78.8414634146341,1.8625,17521746534000,318301008,55047.7255604544,1.70932153794293,1.8057489e+13,152196485271.845,57979030,442849090
"871682",2015,37866.224512,798222000,81.2,76.3,273198,55.8349990844727,68.4130020141602,5.28000020980835,100,35.0519778254415,0.730641178178307,18647626,145920115,81.671,18.329,9831510,58769219,261865944,45.5097044362536,7.63669721773525,12.4417529794929,2.88091046605219,20.2584319345074,5.09087e+11,160596354,19.2237265896844,78.690243902439,1.8435,18219297584000,320635163,56822.5188202456,2.13195957332404,1.8704317e+13,155452127836.113,58121068,431866508
"887527",2016,38657.919041,824039000,81.1,76.1,272963,55.9980010986328,68.5479965209961,4.86899995803833,100,35.3040869447341,0.716669413429853,18704696,147686617,81.862,18.138,9831510,58575095,264366216,45.7317202753289,6.11312800558366,11.8703515039496,1.56721516997864,18.7159874376493,4.94439e+11,162547573,19.0233424818483,78.5390243902439,1.8205,18707188235000,322941311,57927.5168515062,0.84191610741982,1.9045164e+13,158058664927.686,58438795,475958847
"903372",2017,41591.551767,849403000,81.1,76.1,287135,56.3230018615723,68.484001159668,4.35500001907349,100,35.5275628537883,0.631007893230758,18761941,149493144,82.058,17.942,9831510,58308905,266676634,45.9999372464385,6.03557005590878,12.094833790784,2.21701033031884,18.7098142716715,3.54649e+11,164268059,18.8585280818274,78.5390243902439,1.7655,19485393853000,324985539,59957.7258513032,1.57404364559652,1.9830277e+13,164792466829.43,53149164,440117262
